LSTM
[Epoch, Train accuracy, Train loss, Validation accuracy, Validation loss]
[8, 0.53766875, 1.0921602756895126, 0.540345, 1.0870413719558716]
[9, 0.53945625, 1.088034366559883, 0.5378266666666667, 1.0893947816721599]
[10, 0.5412329166666666, 1.0848251515397926, 0.535835, 1.097298512357076]
[11, 0.5417283333333334, 1.0830894288316368, 0.5437683333333333, 1.079461800816854]
[12, 0.5435666666666666, 1.0787340688339373, 0.5354383333333333, 1.0967383918889364]
[13, 0.5433816666666667, 1.0798924232642353, 0.5434583333333334, 1.0786734536616007]
[14, 0.5442970833333334, 1.0774132253321012, 0.5441433333333333, 1.0768454288609823]
[15, 0.5450958333333333, 1.0755015199787419, 0.5425733333333334, 1.0801882438405355]
[16, 0.54637125, 1.0733219785058499, 0.5396716666666667, 1.0866103002802532]
[17, 0.5463208333333334, 1.0734468720211088, 0.543065, 1.076208966255188]
[18, 0.5478258333333333, 1.0702169834640125, 0.5420233333333333, 1.0796464236323038]
[19, 0.547615, 1.0704396212851504, 0.543545, 1.0756023357009887]
[20, 0.5481941666666666, 1.0694402205198505, 0.5472933333333333, 1.0718444966634115]
[21, 0.5489870833333333, 1.067259924281786, 0.54777, 1.069758451093038]
[22, 0.5496295833333333, 1.0660783025371035, 0.5438633333333334, 1.0758880159505209]
[23, 0.5494691666666667, 1.066114066198667, 0.5437433333333334, 1.0797402463150025]
[24, 0.5499041666666666, 1.0654832369272411, 0.5408, 1.0860652890523275]
[25, 0.5506166666666666, 1.0637667568386098, 0.5477666666666666, 1.069887545483907]
[26, 0.55041375, 1.0639297081504266, 0.5474416666666667, 1.0695654052352905]
[27, 0.5509154166666667, 1.0629704209639628, 0.5436466666666666, 1.0781737837727865]
[28, 0.551855, 1.0612043695111573, 0.549035, 1.0670365643437703]
[29, 0.55145125, 1.0619208589068552, 0.5369916666666666, 1.095748235575358]
[30, 0.55224375, 1.0602602408804, 0.547265, 1.0710404437764485]
[31, 0.5522454166666667, 1.0602411771378417, 0.5366333333333333, 1.0970221348953246]
[32, 0.5529558333333333, 1.058784728540927, 0.5464383333333334, 1.0741830414454143]
[33, 0.55223375, 1.0601634756563107, 0.5476083333333334, 1.070711395365397]
[34, 0.5538158333333333, 1.057312651319802, 0.5445216666666667, 1.0757836014684041]
[35, 0.553805, 1.0567367071420948, 0.5403983333333333, 1.0864902819188436]
[36, 0.5535075, 1.0577818171432614, 0.545775, 1.075228323949178]
[37, 0.5537591666666667, 1.0569428139555952, 0.5453733333333334, 1.0756048823420206]
[38, 0.5545566666666667, 1.0559482021009425, 0.536355, 1.0954690166091918]
[39, 0.5541508333333334, 1.0558956683653593, 0.5394, 1.089790060412089]
[40, 0.5549933333333333, 1.0544934021148582, 0.5441433333333333, 1.0769513814163207]
[41, 0.5553166666666667, 1.054206644874662, 0.5491633333333333, 1.0678340202967327]
[42, 0.5547329166666667, 1.0551741971297066, 0.548555, 1.0685394149398804]
[43, 0.5549629166666666, 1.0543413705095648, 0.5455083333333334, 1.0702798293177287]
[44, 0.5559808333333334, 1.05234403898562, 0.54949, 1.0651836006673177]
[45, 0.5557445833333333, 1.0524395248604317, 0.5469233333333333, 1.0717092683919272]
[46, 0.5561541666666666, 1.0517887114197015, 0.55121, 1.0640066085179647]
[47, 0.5556754166666666, 1.0523649119781455, 0.5496983333333333, 1.0667189306767781]
